country;variable;percentile;year;value;age;pop
QI-MER;mnweal999i;p0p100;1995;1276782964928.0;999;i
QI-MER;mnweal999i;p0p100;1996;1362254940416.0;999;i
QI-MER;mnweal999i;p0p100;1997;1512576612672.0;999;i
QI-MER;mnweal999i;p0p100;1998;1623942954560.0;999;i
QI-MER;mnweal999i;p0p100;1999;1719852824032.0;999;i
QI-MER;mnweal999i;p0p100;2000;1886010820816.0;999;i
QI-MER;mnweal999i;p0p100;2001;1964359050688.0;999;i
QI-MER;mnweal999i;p0p100;2002;1982591703872.0;999;i
QI-MER;mnweal999i;p0p100;2003;2010938146304.0;999;i
QI-MER;mnweal999i;p0p100;2004;2075995589760.0;999;i
QI-MER;mnweal999i;p0p100;2005;2264562480128.0;999;i
QI-MER;mnweal999i;p0p100;2006;2386900626048.0;999;i
QI-MER;mnweal999i;p0p100;2007;2576076411456.0;999;i
QI-MER;mnweal999i;p0p100;2008;2889500261696.0;999;i
QI-MER;mnweal999i;p0p100;2009;2999964578432.0;999;i
QI-MER;mnweal999i;p0p100;2010;3001362917696.0;999;i
QI-MER;mnweal999i;p0p100;2011;3425245380224.0;999;i
QI-MER;mnweal999i;p0p100;2012;3817231678208.0;999;i
QI-MER;mnweal999i;p0p100;2013;3911770693504.0;999;i
QI-MER;mnweal999i;p0p100;2014;3835625499776.0;999;i
QI-MER;mnweal999i;p0p100;2015;3706029178496.0;999;i
QI-MER;mnweal999i;p0p100;2016;3588324051840.0;999;i
QI-MER;mnweal999i;p0p100;2017;3772697910400.0;999;i
QI-MER;mnweal999i;p0p100;2018;4029352089600.0;999;i
QI-MER;mnweal999i;p0p100;2019;4186560070656.0;999;i
QI-MER;mnweal999i;p0p100;2020;3848870188032.0;999;i
QI-MER;mnweal999i;p0p100;2021;4120463866752.0;999;i
QI-MER;wwealg999i;p0p100;1995;0.68250560760498;999;i
QI-MER;wwealg999i;p0p100;1996;0.703512966632843;999;i
QI-MER;wwealg999i;p0p100;1997;0.727880775928497;999;i
QI-MER;wwealg999i;p0p100;1998;0.746353149414062;999;i
QI-MER;wwealg999i;p0p100;1999;0.767712235450745;999;i
QI-MER;wwealg999i;p0p100;2000;0.794274151325226;999;i
