country;variable;percentile;year;value;age;pop
QH-MER;mnninc999i;p0p100;1950;19985340800.0;999;i
QH-MER;mnninc999i;p0p100;1951;21281428608.0;999;i
QH-MER;mnninc999i;p0p100;1952;22726231680.0;999;i
QH-MER;mnninc999i;p0p100;1953;22981571200.0;999;i
QH-MER;mnninc999i;p0p100;1954;24077126400.0;999;i
QH-MER;mnninc999i;p0p100;1955;24599285504.0;999;i
QH-MER;mnninc999i;p0p100;1956;26615094656.0;999;i
QH-MER;mnninc999i;p0p100;1957;27548282112.0;999;i
QH-MER;mnninc999i;p0p100;1958;28674770944.0;999;i
QH-MER;mnninc999i;p0p100;1959;29473137408.0;999;i
QH-MER;mnninc999i;p0p100;1960;33222591456.0;999;i
QH-MER;mnninc999i;p0p100;1961;34675902336.0;999;i
QH-MER;mnninc999i;p0p100;1962;37126055392.0;999;i
QH-MER;mnninc999i;p0p100;1963;39016842552.0;999;i
QH-MER;mnninc999i;p0p100;1964;41235916936.0;999;i
QH-MER;mnninc999i;p0p100;1965;42573075768.0;999;i
QH-MER;mnninc999i;p0p100;1966;44536760200.0;999;i
QH-MER;mnninc999i;p0p100;1967;46053564000.0;999;i
QH-MER;mnninc999i;p0p100;1968;48756723776.0;999;i
QH-MER;mnninc999i;p0p100;1969;51882402000.0;999;i
QH-MER;mnninc999i;p0p100;1970;59359271330.0;999;i
QH-MER;mnninc999i;p0p100;1971;61911565002.0;999;i
QH-MER;mnninc999i;p0p100;1972;65945794126.0;999;i
QH-MER;mnninc999i;p0p100;1973;68325378856.0;999;i
QH-MER;mnninc999i;p0p100;1974;68409657104.0;999;i
QH-MER;mnninc999i;p0p100;1975;68994322964.0;999;i
QH-MER;mnninc999i;p0p100;1976;71177042636.0;999;i
QH-MER;mnninc999i;p0p100;1977;74073828280.0;999;i
QH-MER;mnninc999i;p0p100;1978;78187695916.0;999;i
QH-MER;mnninc999i;p0p100;1979;81974383400.0;999;i
QH-MER;mnninc999i;p0p100;1980;85129430304.0;999;i
QH-MER;mnninc999i;p0p100;1981;85126498976.0;999;i
QH-MER;mnninc999i;p0p100;1982;85315049016.0;999;i
QH-MER;mnninc999i;p0p100;1983;85150595520.0;999;i
QH-MER;mnninc999i;p0p100;1984;86636223776.0;999;i
QH-MER;mnninc999i;p0p100;1985;86954183256.0;999;i
QH-MER;mnninc999i;p0p100;1986;89619187920.0;999;i
QH-MER;mnninc999i;p0p100;1987;92607600976.0;999;i
QH-MER;mnninc999i;p0p100;1988;95784794960.0;999;i
QH-MER;mnninc999i;p0p100;1989;98287654528.0;999;i
QH-MER;mnninc999i;p0p100;1990;97802229504.0;999;i
QH-MER;mnninc999i;p0p100;1991;98091718752.0;999;i
QH-MER;mnninc999i;p0p100;1992;101856773328.0;999;i
QH-MER;mnninc999i;p0p100;1993;104407032976.0;999;i
QH-MER;mnninc999i;p0p100;1994;107156403152.0;999;i
QH-MER;mnninc999i;p0p100;1995;111694820064.0;999;i
QH-MER;mnninc999i;p0p100;1996;116519548960.0;999;i
QH-MER;mnninc999i;p0p100;1997;120803013152.0;999;i
QH-MER;mnninc999i;p0p100;1998;126393752864.0;999;i
QH-MER;mnninc999i;p0p100;1999;133243436544.0;999;i
QH-MER;mnninc999i;p0p100;2000;137780858816.0;999;i
QH-MER;mnninc999i;p0p100;2001;139840049632.0;999;i
QH-MER;mnninc999i;p0p100;2002;146814612704.0;999;i
QH-MER;mnninc999i;p0p100;2003;150543687904.0;999;i
QH-MER;mnninc999i;p0p100;2004;156010367680.0;999;i
QH-MER;mnninc999i;p0p100;2005;161329212000.0;999;i
QH-MER;mnninc999i;p0p100;2006;167223137216.0;999;i
QH-MER;mnninc999i;p0p100;2007;171336141696.0;999;i
QH-MER;mnninc999i;p0p100;2008;172916353888.0;999;i
QH-MER;mnninc999i;p0p100;2009;168253003648.0;999;i
QH-MER;mnninc999i;p0p100;2010;171038509344.0;999;i
QH-MER;mnninc999i;p0p100;2011;172336489216.0;999;i
QH-MER;mnninc999i;p0p100;2012;176719377600.0;999;i
QH-MER;mnninc999i;p0p100;2013;180691238496.0;999;i
QH-MER;mnninc999i;p0p100;2014;184943928896.0;999;i
QH-MER;mnninc999i;p0p100;2015;198401224384.0;999;i
QH-MER;mnninc999i;p0p100;2016;198454416928.0;999;i
QH-MER;mnninc999i;p0p100;2017;201340725152.0;999;i
QH-MER;mnninc999i;p0p100;2018;206795055136.0;999;i
QH-MER;mnninc999i;p0p100;2019;193918409760.0;999;i
QH-MER;mnninc999i;p0p100;2020;180735338848.0;999;i
QH-MER;mnninc999i;p0p100;2021;186184125216.0;999;i
QH-MER;mndpro999i;p0p100;1950;19294485376.0;999;i
QH-MER;mndpro999i;p0p100;1951;20200275584.0;999;i
QH-MER;mndpro999i;p0p100;1952;21399822976.0;999;i
QH-MER;mndpro999i;p0p100;1953;21837894272.0;999;i
QH-MER;mndpro999i;p0p100;1954;23109853952.0;999;i
QH-MER;mndpro999i;p0p100;1955;23920833280.0;999;i
QH-MER;mndpro999i;p0p100;1956;26109636992.0;999;i
QH-MER;mndpro999i;p0p100;1957;27012806912.0;999;i
QH-MER;mndpro999i;p0p100;1958;28282872832.0;999;i
QH-MER;mndpro999i;p0p100;1959;29333060352.0;999;i
QH-MER;mndpro999i;p0p100;1960;33176758240.0;999;i
QH-MER;mndpro999i;p0p100;1961;34716403584.0;999;i
QH-MER;mndpro999i;p0p100;1962;37246824928.0;999;i
QH-MER;mndpro999i;p0p100;1963;39236589880.0;999;i
QH-MER;mndpro999i;p0p100;1964;41651751048.0;999;i
QH-MER;mndpro999i;p0p100;1965;43172623672.0;999;i
QH-MER;mndpro999i;p0p100;1966;45961432200.0;999;i
QH-MER;mndpro999i;p0p100;1967;47569542752.0;999;i
QH-MER;mndpro999i;p0p100;1968;50384973632.0;999;i
QH-MER;mndpro999i;p0p100;1969;54030580176.0;999;i
QH-MER;mndpro999i;p0p100;1970;61852325158.0;999;i
QH-MER;mndpro999i;p0p100;1971;65314927362.0;999;i
QH-MER;mndpro999i;p0p100;1972;69693313418.0;999;i
QH-MER;mndpro999i;p0p100;1973;72856668512.0;999;i
QH-MER;mndpro999i;p0p100;1974;73467797608.0;999;i
QH-MER;mndpro999i;p0p100;1975;74992505780.0;999;i
QH-MER;mndpro999i;p0p100;1976;78635782968.0;999;i
QH-MER;mndpro999i;p0p100;1977;83035910368.0;999;i
QH-MER;mndpro999i;p0p100;1978;88648387440.0;999;i
QH-MER;mndpro999i;p0p100;1979;94358489372.0;999;i
QH-MER;mndpro999i;p0p100;1980;98030325480.0;999;i
QH-MER;mndpro999i;p0p100;1981;98062278168.0;999;i
QH-MER;mndpro999i;p0p100;1982;97767534576.0;999;i
QH-MER;mndpro999i;p0p100;1983;98991407464.0;999;i
QH-MER;mndpro999i;p0p100;1984;101568711768.0;999;i
QH-MER;mndpro999i;p0p100;1985;103394306648.0;999;i
QH-MER;mndpro999i;p0p100;1986;107230305464.0;999;i
QH-MER;mndpro999i;p0p100;1987;112120898688.0;999;i
QH-MER;mndpro999i;p0p100;1988;116311226512.0;999;i
QH-MER;mndpro999i;p0p100;1989;118620383104.0;999;i
QH-MER;mndpro999i;p0p100;1990;118224149456.0;999;i
QH-MER;mndpro999i;p0p100;1991;120583593056.0;999;i
QH-MER;mndpro999i;p0p100;1992;125398356752.0;999;i
QH-MER;mndpro999i;p0p100;1993;129785163376.0;999;i
QH-MER;mndpro999i;p0p100;1994;134082023888.0;999;i
QH-MER;mndpro999i;p0p100;1995;139439057248.0;999;i
QH-MER;mndpro999i;p0p100;1996;144860957920.0;999;i
QH-MER;mndpro999i;p0p100;1997;152509753184.0;999;i
QH-MER;mndpro999i;p0p100;1998;159214944544.0;999;i
QH-MER;mndpro999i;p0p100;1999;166621836576.0;999;i
QH-MER;mndpro999i;p0p100;2000;176507116032.0;999;i
QH-MER;mndpro999i;p0p100;2001;180972170304.0;999;i
QH-MER;mndpro999i;p0p100;2002;188228680128.0;999;i
QH-MER;mndpro999i;p0p100;2003;194006996608.0;999;i
QH-MER;mndpro999i;p0p100;2004;199904790528.0;999;i
QH-MER;mndpro999i;p0p100;2005;203756269920.0;999;i
QH-MER;mndpro999i;p0p100;2006;209826941984.0;999;i
QH-MER;mndpro999i;p0p100;2007;212090347584.0;999;i
QH-MER;mndpro999i;p0p100;2008;213346593376.0;999;i
QH-MER;mndpro999i;p0p100;2009;209459750112.0;999;i
QH-MER;mndpro999i;p0p100;2010;212436629664.0;999;i
QH-MER;mndpro999i;p0p100;2011;214387665472.0;999;i
QH-MER;mndpro999i;p0p100;2012;215734100352.0;999;i
QH-MER;mndpro999i;p0p100;2013;217849795648.0;999;i
QH-MER;mndpro999i;p0p100;2014;220949096448.0;999;i
QH-MER;mndpro999i;p0p100;2015;225201656672.0;999;i
QH-MER;mndpro999i;p0p100;2016;227346142976.0;999;i
QH-MER;mndpro999i;p0p100;2017;227255612896.0;999;i
QH-MER;mndpro999i;p0p100;2018;231749595424.0;999;i
QH-MER;mndpro999i;p0p100;2019;234406191648.0;999;i
QH-MER;mndpro999i;p0p100;2020;214345329600.0;999;i
QH-MER;mndpro999i;p0p100;2021;220569911456.0;999;i
QH-MER;mnweal999i;p0p100;1995;64586957512.0;999;i
QH-MER;mnweal999i;p0p100;1996;74016978328.0;999;i
QH-MER;mnweal999i;p0p100;1997;83027634088.0;999;i
QH-MER;mnweal999i;p0p100;1998;91172204630.0;999;i
QH-MER;mnweal999i;p0p100;1999;101269448448.0;999;i
QH-MER;mnweal999i;p0p100;2000;111895692256.0;999;i
QH-MER;mnweal999i;p0p100;2001;119647105080.0;999;i
QH-MER;mnweal999i;p0p100;2002;132600719824.0;999;i
QH-MER;mnweal999i;p0p100;2003;143715530432.0;999;i
QH-MER;mnweal999i;p0p100;2004;162103715502.0;999;i
QH-MER;mnweal999i;p0p100;2005;180017835601.0;999;i
QH-MER;mnweal999i;p0p100;2006;197842795840.0;999;i
QH-MER;mnweal999i;p0p100;2007;214327440608.0;999;i
QH-MER;mnweal999i;p0p100;2008;225968570800.0;999;i
QH-MER;mnweal999i;p0p100;2009;225725232840.0;999;i
QH-MER;mnweal999i;p0p100;2010;234179502000.0;999;i
QH-MER;mnweal999i;p0p100;2011;239914072200.0;999;i
QH-MER;mnweal999i;p0p100;2012;248278977440.0;999;i
QH-MER;mnweal999i;p0p100;2013;255456477612.0;999;i
QH-MER;mnweal999i;p0p100;2014;263246799038.0;999;i
QH-MER;mnweal999i;p0p100;2015;280024155576.0;999;i
QH-MER;mnweal999i;p0p100;2016;299727022368.0;999;i
QH-MER;mnweal999i;p0p100;2017;309558331584.0;999;i
QH-MER;mnweal999i;p0p100;2018;324109068768.0;999;i
QH-MER;mnweal999i;p0p100;2019;326912736576.0;999;i
QH-MER;mnweal999i;p0p100;2020;298225092480.0;999;i
QH-MER;mnweal999i;p0p100;2021;317134985984.0;999;i
QH-MER;wwealh999i;p0p100;1995;0.401809900999069;999;i
QH-MER;wwealh999i;p0p100;1996;0.436450600624084;999;i
QH-MER;wwealh999i;p0p100;1997;0.469316899776459;999;i
QH-MER;wwealh999i;p0p100;1998;0.495514661073685;999;i
QH-MER;wwealh999i;p0p100;1999;0.521746158599854;999;i
QH-MER;wwealh999i;p0p100;2000;0.557281255722046;999;i
QH-MER;wwealh999i;p0p100;2001;0.593475878238678;999;i
QH-MER;wwealh999i;p0p100;2002;0.630546689033508;999;i
QH-MER;wwealh999i;p0p100;2003;0.66460794210434;999;i
QH-MER;wwealh999i;p0p100;2004;0.713550746440887;999;i
QH-MER;wwealh999i;p0p100;2005;0.763395607471466;999;i
QH-MER;wwealh999i;p0p100;2006;0.809831142425537;999;i
QH-MER;wwealh999i;p0p100;2007;0.854567229747772;999;i
QH-MER;wwealh999i;p0p100;2008;0.898212373256683;999;i
QH-MER;wwealh999i;p0p100;2009;0.940506637096405;999;i
QH-MER;wwealh999i;p0p100;2010;0.973550081253052;999;i
QH-MER;wwealh999i;p0p100;2011;1.00737810134888;999;i
QH-MER;wwealh999i;p0p100;2012;1.03596866130829;999;i
QH-MER;wwealh999i;p0p100;2013;1.0663468837738;999;i
QH-MER;wwealh999i;p0p100;2014;1.10124337673187;999;i
QH-MER;wwealh999i;p0p100;2015;1.11771667003632;999;i
QH-MER;wwealh999i;p0p100;2016;1.21647322177887;999;i
QH-MER;wwealh999i;p0p100;2017;1.26875603199005;999;i
QH-MER;wwealh999i;p0p100;2018;1.32182502746582;999;i
QH-MER;wwealh999i;p0p100;2019;1.45508778095245;999;i
QH-MER;wwealh999i;p0p100;2020;1.48310661315918;999;i
QH-MER;wwealh999i;p0p100;2021;1.558349609375;999;i
QH-MER;mgdpro999i;p0p100;1950;20278784256.0;999;i
QH-MER;mgdpro999i;p0p100;1951;21217669120.0;999;i
QH-MER;mgdpro999i;p0p100;1952;22504317696.0;999;i
QH-MER;mgdpro999i;p0p100;1953;23029299200.0;999;i
QH-MER;mgdpro999i;p0p100;1954;24431199232.0;999;i
QH-MER;mgdpro999i;p0p100;1955;25367991040.0;999;i
QH-MER;mgdpro999i;p0p100;1956;27722278400.0;999;i
QH-MER;mgdpro999i;p0p100;1957;28768341248.0;999;i
QH-MER;mgdpro999i;p0p100;1958;30108968448.0;999;i
QH-MER;mgdpro999i;p0p100;1959;31279341568.0;999;i
QH-MER;mgdpro999i;p0p100;1960;35402256520.0;999;i
QH-MER;mgdpro999i;p0p100;1961;37067870752.0;999;i
QH-MER;mgdpro999i;p0p100;1962;39838798048.0;999;i
QH-MER;mgdpro999i;p0p100;1963;41929756960.0;999;i
QH-MER;mgdpro999i;p0p100;1964;44553022496.0;999;i
QH-MER;mgdpro999i;p0p100;1965;46275924976.0;999;i
